Elapsed Time (s),State,Voltage (mV),Current (mA),Power (W),Used Energy (Wh)
0.0,Idle,16594,-456,-7.567,0.00421
2.0,Idle,16594,-466,-7.733,0.00852
4.0,Idle,16582,-518,-8.589,0.01330
6.0,Idle,16579,-517,-8.571,0.01808
8.0,Idle,16585,-479,-7.944,0.02250
10.0,Idle,16582,-466,-7.727,0.02680
12.0,Idle,16586,-472,-7.829,0.03116
14.0,Idle,16578,-473,-7.841,0.03553
16.0,Idle,16583,-460,-7.628,0.03977
18.0,Idle,16581,-473,-7.843,0.04414
20.0,Idle,16575,-473,-7.840,0.04850
22.1,Idle,16581,-453,-7.511,0.05269
24.1,Idle,16579,-453,-7.510,0.05687
26.1,Idle,16576,-452,-7.492,0.06104
28.1,Idle,16578,-450,-7.460,0.06520
30.1,Idle,16563,-508,-8.414,0.06989
32.1,Idle,16567,-502,-8.317,0.07453
34.1,Idle,16565,-476,-7.885,0.07892
36.1,Idle,16572,-453,-7.507,0.08310
38.1,Idle,16569,-454,-7.522,0.08728
40.1,Idle,16563,-470,-7.785,0.09162
42.1,Idle,16567,-474,-7.853,0.09600
44.1,Idle,16557,-490,-8.113,0.10052
46.1,Idle,16559,-486,-8.048,0.10500
48.1,Idle,16562,-477,-7.900,0.10940
50.1,Idle,16558,-475,-7.865,0.11378
52.1,Idle,16559,-465,-7.700,0.11807
54.1,Idle,16561,-458,-7.585,0.12229
