epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.86441,1.48786,2.76734,1.52163,0.00293,0.56923,0.20463,0.09485,1.51576,3.15002,1.37618,0.000545744,0.000545744,0.000545744
2,15.9557,1.49919,2.21466,1.50079,0.33135,0.11787,0.06414,0.02639,2.0369,3.35069,1.90064,0.0010983,0.0010983,0.0010983
3,21.6817,1.56146,2.09855,1.54172,0.29762,0.1381,0.17108,0.05852,2.09136,3.33828,2.04139,0.0016477,0.0016477,0.0016477
4,27.5063,1.54578,2.00833,1.55857,0.55018,0.24805,0.39597,0.23161,1.80988,2.57715,1.68229,0.00165285,0.00165285,0.00165285
5,33.1652,1.54687,1.8235,1.53354,0.4251,0.39148,0.38301,0.16434,1.92339,1.89307,1.79363,0.00164814,0.00164814,0.00164814
6,38.8813,1.48375,1.65765,1.47907,0.24782,0.31084,0.25758,0.11052,1.89494,2.34976,1.7338,0.00164342,0.00164342,0.00164342
7,44.5004,1.47645,1.64389,1.48529,0.38926,0.53633,0.4575,0.25475,1.80516,1.89977,1.65505,0.00163871,0.00163871,0.00163871
8,50.295,1.4288,1.49439,1.43626,0.45008,0.56343,0.49894,0.31251,1.6503,1.70137,1.54275,0.00163399,0.00163399,0.00163399
9,56.1428,1.38578,1.46003,1.43022,0.47402,0.42608,0.46743,0.22488,1.80859,2.48922,1.61359,0.00162928,0.00162928,0.00162928
10,61.9503,1.35897,1.36661,1.41157,0.61263,0.48645,0.53974,0.28602,1.68035,1.52145,1.51463,0.00162456,0.00162456,0.00162456
11,67.67,1.36479,1.37194,1.40359,0.58553,0.62967,0.56614,0.29917,1.67969,1.51837,1.50763,0.00161985,0.00161985,0.00161985
12,73.5163,1.41942,1.36396,1.43143,0.55161,0.60205,0.59405,0.34957,1.63879,1.55267,1.53596,0.00161513,0.00161513,0.00161513
13,79.1903,1.31565,1.28253,1.39639,0.5719,0.52491,0.53394,0.29085,1.69593,1.65265,1.56352,0.00161042,0.00161042,0.00161042
14,84.7654,1.31762,1.24901,1.36725,0.73848,0.63635,0.73926,0.43219,1.68279,1.32327,1.51698,0.0016057,0.0016057,0.0016057
15,90.4458,1.35892,1.31627,1.41866,0.6293,0.60183,0.63329,0.35774,1.63944,1.47195,1.53634,0.00160099,0.00160099,0.00160099
16,96.0508,1.27984,1.20453,1.35517,0.50594,0.62403,0.6075,0.35131,1.60942,1.5661,1.50458,0.00159627,0.00159627,0.00159627
17,101.752,1.26845,1.14518,1.32527,0.70111,0.67985,0.74537,0.44372,1.65315,1.37495,1.50004,0.00159156,0.00159156,0.00159156
18,107.627,1.28691,1.16122,1.36517,0.71416,0.66466,0.74463,0.45903,1.67318,1.32314,1.51511,0.00158684,0.00158684,0.00158684
19,113.248,1.27219,1.16891,1.36571,0.76218,0.61319,0.74487,0.42512,1.67191,1.42802,1.52166,0.00158213,0.00158213,0.00158213
20,119.058,1.24479,1.11509,1.33703,0.85419,0.67363,0.76487,0.43755,1.67127,1.27252,1.48408,0.00157741,0.00157741,0.00157741
